発電所名,設備容量(kW),発電電力量(MWh),暦日利用率(%)
摩周湖温泉熱,125,174,15.8
諏訪湖温泉KH-1,72,96,24.3
奥尻,250,1614,73.5
鳴子温泉バイナリ,65,,
土湯温泉16号源泉バイナリ,440,3190,90.8
ホテルサンバレバイナリ,20,22,12.4
七味温泉ホテル渓山亭バイナリ,20,0,0
一重ヶ根2号バイナリ,79,333,52.7
下田温泉バイナリ,110,227,28.7
湯村温泉観光交流センタ薬師湯温泉バイナリ,40,0,0
協和地建コンサルタント湯梨浜,20,121,68.9
小浜温泉バイナリ,135,669,60.9
五湯苑,114,357,28.2
湯山,144,488,38.6
タタラ第一,72,0,0
亀の井,11,0,0
コスモテック別府バイナリ,500,1776,40.4
フィノバイナリ,250,,
PPSNバイナリ,125,,
SUMO POWER,125,,
エスエヌパワ,125,,
牧野,125,0,0
BLD(別府鶴見Power Station),250,445,20.3
千葉,250,838,43.5
千葉HD,250,0,0
GRACE,125,189,17.2
基住,125,0,0
ジェットシステム1号,,,
ジェットシステム2号,125,,
VEPエナジ,125,0,0
RE-ENERGY,125,0,0
レナヴィス,125,,
レナ発電所1号,125,,
P-POWER,250,,
エヌアイエスバイナリ,250,,
i-BIO,250,435,39.6
デュアルエナジ,250,,
別府鶴見温泉地熱発電所1号,250,,
安倍内科医院,20,,
三光地熱開発バイナリ,65,0,0
エンマ,70,428,96.2
別府ライフテック温泉,840,,
アイベック,560,,
九重野矢地区バイナリ,50,,
OTE大分奥江温泉地熱バイナリサイクル,72,,
由布院フォレストエナジバイナリ1号,125,0,0
由布院フォレストエナジバイナリ2号,70,352,80.1
小国まつや,60,324,61.5
イワテック第一温泉,125,469,78.4
