T_htf_in [°C],Vdot_htf [m3/s],PEC_total_series [$],Unit_elec_cost_series [$/kWh],Simple_PB_series [yr],Evaporator_cost_series [$],Condenser_cost_series [$],Turbine_cost_series [$],Pump_cost_series [$],Superheater_cost_series [$],Regenerator_cost_series [$]
70.0,0.0077777777777777776,176754.83157565814,0.09427918361644086,9.79090163661786,15929.668511115977,80029.27047890867,58641.94940161213,3130.5026651493745,6421.4406935186025,12601.999825353376
71.5263157894737,0.0077777777777777776,179432.04719294328,0.08834190598251827,9.174283599548296,15148.180425276998,79780.9245782219,62117.58474045054,3370.193214588547,6418.109594274343,12597.054640130937
73.05263157894734,0.0077777777777777776,182040.0121166237,0.0833552770470599,8.656399807607182,14450.039569461249,79536.64524702705,65437.981899914725,3608.5210499484187,6414.753150911252,12592.07119936103
74.57894736842104,0.0077777777777777776,184581.0114451837,0.07910842959787277,8.215348727866113,13821.921090208412,79296.35802827698,68618.29050976606,3846.018053133741,6411.372535264261,12587.05122853426
76.10526315789474,0.0077777777777777776,187057.32888720842,0.07544868363226358,7.835272617783486,13253.276157692435,79059.99140265933,71670.98189384211,4083.113950754753,6407.968963103438,12581.996519156342
77.63157894736844,0.0077777777777777776,189471.24570161905,0.07226278024258843,7.5044082570112804,12735.631747877556,78827.47661240352,74606.52154022804,4320.1631978521245,6404.543686214158,12576.908917043642
79.15789473684208,0.0077777777777777776,191825.02546368798,0.06946493312809546,7.213845861273714,12262.094889154356,78598.74749910971,77433.83148738611,4557.463291142606,6401.097985204802,12571.790311690384
80.68421052631578,0.0077777777777777776,194120.89727476647,0.06698897515338542,6.956713360941734,11826.99430398457,78373.74035474777,80160.619150063,4795.267676305656,6397.633163007872,12566.642626657595
82.21052631578948,0.0077777777777777776,196361.04163076408,0.06478305208047584,6.727625257324704,11425.61656858587,78152.39378486358,82793.61781881991,5033.795108569482,6394.150539020721,12561.467810904525
83.73684210526318,0.0077777777777777776,198547.57991299342,0.06280594960714977,6.5223011296007645,11054.0086607356,77934.64858312791,85338.76678612913,5273.2366081613145,6390.651443841818,12556.267830997644
85.26315789473682,0.0077777777777777776,200682.56727565813,0.06102449608653338,6.337295870623267,10708.828011167181,77720.44761642523,87801.34903062401,5513.7607387480275,6387.1372145596,12551.044664134071
86.78947368421052,0.0077777777777777776,202767.9883422455,0.05941169065212702,6.1698052682263995,10387.227117078077,77509.73571976402,90186.09833512313,5755.517687803545,6383.609190554803,12545.800291921902
88.31578947368422,0.0077777777777777776,204805.75508548386,0.05794533097538595,6.0175234811645195,10086.763683230245,77302.45960031192,92497.2839238186,5998.642473486133,6380.068709777134,12540.536694859842
89.84210526315792,0.0077777777777777776,206797.7063395728,0.05660699173923486,5.878536942012166,9805.329877001539,77098.56774994609,94738.7782571337,6243.2575025610295,6376.517105463083,12535.255847467366
91.36842105263156,0.0077777777777777776,208745.60849694372,0.055381253547554445,5.751244271257145,9541.09607444381,76898.01036572679,96914.11200064942,6489.474638851501,6372.955703259251,12529.959714012972
92.89473684210526,0.0077777777777777776,210651.1570403172,0.054255113463686215,5.634295055892668,9292.465718466052,76700.73927778438,99026.519083502,6737.396897043234,6369.385818722767,12524.650244798777
94.42105263157896,0.0077777777777777776,212515.97864409332,0.05321752915518621,5.526542504626276,9058.038787841524,76506.70788410697,101078.97399784281,6987.11984618196,6365.808755166341,12519.329372953704
95.94736842105266,0.0077777777777777776,214341.63364695985,0.052259062602317954,5.427006443911111,8836.582003560288,76315.87109181762,103074.22295198575,7238.732786074603,6362.225801823012,12513.999011698586
97.4736842105263,0.0077777777777777776,216129.61874881588,0.051371598891110454,5.3348441123112575,8627.004353984734,76128.18526453475,105014.8101020719,7492.319743871714,6358.638232305848,12508.661052046908
99.0,0.0077777777777777776,217881.3698253402,0.050548122256728445,5.249326900889172,8428.336853916702,75943.60817543135,106903.09980413955,7747.960327616382,6355.047303335299,12503.317360900914
